mutation probability per bit=0.01
bias fitness=1e-99
number of Individuals per Generation=100
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.526091 0.50802 0.7583 1.5166 0.786261 0.339228 0
0 0.508477 0.389385 0.785555 1.57252 0.969832 0.794921 0
0 0.979012 0.714954 0.0574753 1.57111 0.466064 9.58758e-06 0
0 0.345608 0.9749 1.03757 1.93966 0.0638386 0.223988 0
0 0.819794 0.95737 0.303841 0.114951 0.090964 5.11282e-07 5.04367e-2665
0 0.772461 0.42132 0.377082 0.932128 0.920416 0.141636 0
0 0.622613 0.15277 0.608948 2.07514 1.33596 2.7272 0
0 0.519438 0.668858 0.768594 0.127677 0.537391 0.100307 0
0 0.363902 0.671169 1.00926 0.607681 0.533814 0.544886 0
0 0.968902 0.47144 0.0731195 0.181928 0.842864 0.0108561 0
0 0.947972 0.887579 0.105506 0.754163 0.198954 4.15426e-08 8.31133e-217
0 0.99133 0.964383 0.0384152 1.84083 0.0801117 3.09127e-10 0.0665531
0 0.225237 0.696201 1.22382 1.2179 0.495082 2.19835 0
0 0.715313 0.60556 0.465509 2.67191 0.635335 0.0183646 0
0 0.875293 0.867959 0.217964 1.53719 0.229313 1.09222e-06 0
0 0.421843 0.646454 0.919608 1.07478 0.572057 0.339828 0
0 0.105838 0.206039 1.40858 2.01852 1.25353 26.794 0
0 0.699282 0.12993 0.490315 1.06763 1.3713 2.90161 0
0 0.989809 0.249428 0.0407692 0.146239 1.18639 0.440268 0
0 0.447772 0.153763 0.879487 1.68573 1.33442 4.18843 0
0 0.674225 0.644317 0.529085 0.211011 0.575363 0.0178911 0
0 0.0153776 0.665348 1.54855 0.397909 0.542822 108.882 0
0 0.368856 0.311773 1.0016 0.0768304 1.08992 2.21861 0
0 0.0753877 0.677856 1.45569 0.160223 0.523468 20.5009 0
0 0.552015 0.819305 0.718186 2.44765 0.304598 0.0130168 0
0 0.894937 0.221466 0.187569 0.990164 1.22966 0.788722 0
