mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.281132 0.606273 1.13734 2.27467 0.634231 390.247 0.241331
0 0.741465 0.781552 0.425043 1.26846 0.363014 172.944 1.00139
0 0.293724 0.0615938 1.11785 0.850086 1.47704 402.853 0.0750022
0 0.49291 0.303506 0.809643 0.726027 1.10272 324.59 0.433126
0 0.796759 0.460057 0.339484 2.2357 0.860477 202.851 0.732906
0 0.0208082 0.911589 1.54015 2.95407 0.161802 453.626 0.0632031
0 0.217532 0.0952018 1.23575 1.61929 1.42503 424.377 0.294574
0 0.10921 0.134084 1.40336 2.20543 1.36487 446.208 0.236579
0 0.48001 0.561561 0.829603 0.678967 0.703415 306.939 0.535273
0 0.691721 0.533644 0.502013 1.72095 0.746612 225.729 0.602429
0 0.910589 0.0935209 0.163349 3.08029 1.42763 215.474 0.498384
0 0.409512 0.382315 0.938687 0.323604 0.980771 351.807 0.159788
0 0.0416602 0.0667153 1.50788 2.47149 1.46911 452.996 0.167059
0 0.176667 0.63207 1.29898 2.85007 0.594314 426.465 0.290769
0 0.552426 0.0254688 0.717551 2.80672 1.53293 314.749 0.488372
0 0.85139 0.691362 0.25495 2.72974 0.502569 153.242 0.991857
0 0.00650166 0.535389 1.56228 1.65921 0.743913 454.116 0.0385103
0 0.804897 0.454569 0.326892 1.40683 0.868969 201.319 0.947965
0 0.241162 0.453364 1.19918 1.00403 0.870834 411.197 0.0887632
0 0.0531477 0.152957 1.49011 1.49322 1.33567 452.237 0.217497
0 0.544726 0.278998 0.729466 0.326698 1.14064 307.018 0.542824
0 0.403523 0.982831 0.947955 2.85527 0.051567 297.729 0.372653
0 0.734912 0.292969 0.435181 1.87737 1.11902 242.442 0.52374
0 0.519781 0.335876 0.768063 1.96154 1.05263 311.979 0.254441
0 0.131986 0.983092 1.36812 3.01576 0.0511626 432.169 0.156009
0 0.0746682 0.352394 1.45681 2.93822 1.02707 450.016 0.238545
0 0.936562 0.80194 0.123161 2.59796 0.331468 118.808 1.45434
0 0.217448 0.76118 1.23588 1.18863 0.394537 408.25 0.0404364
0 0.71961 0.375001 0.458859 1.4351 0.992088 237.668 0.716453
0 0.411825 0.627265 0.935108 3.06587 0.601748 331.157 0.214354
