mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.257166 0.331992 1.17442 2.34884 1.05864 473.701 0.0439843
0 0.580706 0.0439601 0.673792 2.11728 1.50432 374.041 0.472694
0 0.660317 0.697215 0.550607 1.34758 0.493512 281.981 0.611503
0 0.684557 0.69152 0.513099 3.00864 0.502324 272.737 0.526251
0 0.848655 0.778777 0.259183 1.10121 0.367308 198.08 0.811182
0 0.303832 0.544435 1.10221 0.987025 0.729915 451.396 0.121436
0 0.320112 0.278523 1.07702 1.0262 1.14137 456.315 0.303925
0 0.710026 0.388816 0.473689 1.00465 0.970712 306.355 0.629799
0 0.260881 0.00572953 1.16867 0.518366 1.56348 476.551 0.170688
0 0.010697 0.263005 1.55579 0.734617 1.16538 512.191 0.249702
0 0.311544 0.940434 1.09028 2.20442 0.117168 422.793 0.409622
0 0.709209 0.177349 0.474953 1.45983 1.29792 326.686 0.535752
0 0.675567 0.425255 0.527009 2.15404 0.914328 314.347 0.461318
0 0.542907 0.0289097 0.73228 2.28275 1.52761 387.08 0.294472
0 0.323048 0.740091 1.07248 0.947378 0.427169 432.235 0.287034
0 0.720086 0.73102 0.458123 1.94142 0.441204 252.151 0.787365
0 0.770559 0.850717 0.380025 2.33734 0.255992 213.895 0.706112
0 0.41202 0.689937 0.934806 3.12696 0.504775 396.28 0.190745
0 0.944906 0.0196236 0.11025 3.11158 1.54198 268.35 0.684326
0 0.775404 0.325241 0.372527 2.33077 1.06908 292.015 0.451717
0 0.3388 0.802945 1.0481 2.18056 0.329912 420.473 0.224494
0 0.180627 0.964236 1.29285 0.234337 0.0803398 478.553 0.250093
0 0.24277 0.487964 1.19669 0.949907 0.817295 473.746 0.300241
0 0.109884 0.0670161 1.40232 2.59585 1.46865 505.523 0.255611
0 0.809006 0.603029 0.320533 1.05402 0.639251 239.99 0.921004
0 0.252193 0.990567 1.18211 1.82866 0.0395964 447.959 0.1529
0 0.00741165 0.648287 1.56088 1.46456 0.569221 512.216 0.230035
0 0.470079 0.927116 0.84497 3.05522 0.137776 340.769 0.591367
0 0.166452 0.288334 1.31479 2.14495 1.12619 495.862 0.174892
0 0.830776 0.989231 0.286848 0.854337 0.0416629 173.276 1.23368
0 0.21418 0.0721051 1.24093 0.916247 1.46077 487.52 0.0815793
0 0.557217 0.47451 0.710137 0.882408 0.838114 354.937 0.530634
0 0.379269 0.926748 0.985483 0.760049 0.138346 389.18 0.328866
0 0.85881 0.904223 0.243469 0.511984 0.173199 176.135 1.0902
0 0.801951 0.320697 0.331449 1.86961 1.07612 284.199 0.355754
0 0.548298 0.320961 0.723939 1.00955 1.07571 372.634 0.290554
0 0.900781 0.256854 0.178526 0.220499 1.1749 263.385 0.672984
0 0.0238947 0.201377 1.53537 3.08396 1.26074 511.926 0.11414
0 0.726002 0.246187 0.448969 0.745054 1.19141 316.08 0.660167
0 0.705437 0.00806435 0.480791 2.13817 1.55987 333.539 0.402358
0 0.41925 0.742956 0.92362 2.09621 0.422735 387.717 0.311363
0 0.350463 0.0955637 1.03006 0.659824 1.42447 450.649 0.261322
0 0.152311 0.904841 1.33667 2.5857 0.172243 489.306 0.258857
0 0.747592 0.521698 0.415562 0.16068 0.765097 274.559 0.77017
0 0.847268 0.554877 0.261329 2.39339 0.713759 235.219 0.64919
0 0.134408 0.28354 1.36437 1.63459 1.13361 501.488 0.105754
0 0.0114556 0.296444 1.55462 2.80463 1.11364 512.18 0.267054
0 0.754694 0.838025 0.404572 2.93729 0.275631 221.787 1.00724
0 0.455012 0.554183 0.868284 0.641067 0.714832 389.897 0.205966
0 0.125789 0.212023 1.3777 1.2785 1.24427 503.112 0.200429
1 0.830776 0.989231 0.286848 0.854337 0.0416629 173.276 1.23368
1 0.684403 0.693434 0.410824 0.144997 0.749149 272.503 0.117356
1 0.900659 0.256529 1.52246 3.04493 1.25664 263.454 0.543927
1 0.660239 0.697095 0.531654 1.30497 0.0241661 282.032 0.474058
1 0.900659 0.278741 0.241661 1.06331 0.362491 260.826 0.565443
1 0.681962 0.00805467 0.459156 2.12662 1.54663 340.928 0.326374
1 0.260679 0.00561386 1.15997 0.483322 1.47413 476.603 0.19467
1 0.584086 0.177203 0.459156 1.44997 1.2808 368.818 0.487203
1 0.77032 0.850622 0.362491 2.31995 0.217495 213.998 0.869355
1 0.344887 0.92702 0.821647 3.04493 0.12083 407.049 0.177542
1 0.152307 0.989016 0.265827 0.821647 0.0241661 487.365 0.229691
1 0.944838 0.0192824 1.18414 0.918312 0.797481 268.369 0.790213
1 0.322919 0.653649 0.241661 1.06331 0.362491 438 0.184183
1 0.260679 0.00561386 1.01498 3.04493 0.12083 476.603 0.265638
1 0.152307 0.904808 1.32914 0.918312 0.797481 489.308 0.277847
1 0.260679 0.0136685 0.459156 0.966644 0.966644 476.598 0.304473
1 0.0104955 0.262875 1.54663 0.724983 1.13581 512.194 0.249731
1 0.808885 0.0668782 1.40163 2.56161 1.44997 302.043 0.703272
1 0.345131 0.730779 0.43499 1.93329 0.43499 423.185 0.229151
1 0.674396 0.989016 0.265827 0.821647 0.0241661 231.52 0.860347
1 0.419087 0.722968 1.40163 2.56161 1.44997 389.795 0.214666
1 0.830608 0.28826 1.30497 2.12662 1.11164 279.381 0.638882
1 0.858677 0.903344 1.03914 2.17495 0.314159 176.3 0.936561
1 0.775201 0.325116 0.507488 2.9966 0.483322 292.095 0.336419
1 0.65072 0.256773 0.169163 0.193329 1.15997 340.529 0.360774
1 0.709055 0.177203 0.459156 0.821647 0.0241661 326.745 0.445542
1 0.556993 0.474005 0.459156 1.44997 1.2808 355.082 0.36665
1 0.419087 0.742739 0.918312 2.07828 0.410824 387.817 0.331445
1 0.848426 0.778619 0.241661 1.06331 0.362491 198.179 0.970648
1 0.542836 0.0288016 0.314159 1.01498 0.628319 387.105 0.189153
1 0.175494 0.425189 0.507488 2.12662 0.894146 492.468 0.20985
1 0.725897 0.246034 0.43499 0.724983 1.18414 316.127 0.639639
1 0.858677 0.904076 0.241661 0.773315 1.06331 176.196 0.990908
1 0.801806 0.320478 0.531654 1.30497 0.483322 284.27 0.355652
1 0.848426 0.778619 0.241661 1.06331 0.386658 198.179 0.827762
1 0.808885 0.60288 0.241661 2.36828 0.700817 240.056 0.520599
1 0.109836 0.0698072 0.507488 2.12662 0.894146 505.526 0.105666
1 0.847205 0.388577 0.459156 0.966644 0.966644 261.321 0.836539
1 0.83134 0.730779 0.43499 1.93329 0.43499 211.443 0.730785
