mutation probability per bit=0.01
bias fitness=1e-99
number of Individuals per Generation=1000
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.769438 0.272223 0.381759 0.763518 1.15112 3.78274 3.07277e-15
0 0.96116 0.016851 0.0850983 2.30224 1.54627 68.6177 9.16277e-201
0 0.942678 0.00968595 0.113697 0.170197 1.55736 102.855 8.58869e-301
0 0.774358 0.853583 0.374146 3.09254 0.251557 0.782891 0.0140287
0 0.407035 0.808885 0.942521 0.227394 0.320721 3.96704 6.98678e-12
0 0.193925 0.919966 1.27228 3.11471 0.14884 16.2363 9.97038e-48
0 0.757013 0.631943 0.400984 0.748291 0.594511 1.24879 0.000610749
0 0.582502 0.904201 0.671013 0.503114 0.173234 1.5432 8.42788e-05
0 0.192545 0.834476 1.27441 1.88504 0.281122 16.0204 4.25962e-47
0 0.169841 0.248024 1.30954 0.641441 1.18857 54.6329 6.60362e-160
0 0.566095 0.161265 0.6964 2.54455 1.32281 14.1538 1.21017e-41
0 0.0877693 0.0334382 1.43653 0.297679 1.5206 1488.1 6.81186e-4348
0 0.361534 0.713662 1.01293 0.801967 0.468063 5.3969 4.64318e-16
0 0.415276 0.895121 0.92977 1.18902 0.187283 3.45919 2.12804e-10
0 0.933344 0.378294 0.128139 1.34203 0.986993 1.77234 1.80404e-05
0 0.968866 0.93105 0.0731753 0.346468 0.131689 0.214434 0.642402
0 0.377679 0.845324 0.987944 2.54882 0.264336 4.76566 3.24364e-14
0 0.343121 0.606551 1.04142 0.562244 0.6338 6.87999 2.15691e-20
0 0.351059 0.333373 1.02914 2.61908 1.0565 14.3178 4.01551e-42
0 0.125489 0.211107 1.37817 2.37713 1.24569 118.314 5.87401e-346
0 0.142776 0.94748 1.35142 1.3928 0.106266 26.0233 2.54128e-76
0 0.662022 0.823342 0.547969 2.64562 0.298351 1.35878 0.000291415
0 0.290046 0.671573 1.12354 2.87307 0.53319 10.534 4.55482e-31
0 0.485898 0.397781 0.820493 3.04121 0.956839 8.62748 1.69207e-25
0 0.212337 0.148664 1.24379 2.02585 1.34231 61.4427 8.40215e-180
0 0.573089 0.45843 0.685579 0.936126 0.862995 3.43373 2.52566e-10
0 0.432999 0.864728 0.902345 1.85954 0.234312 3.32872 5.11864e-10
0 0.130611 0.868852 1.37024 0.374567 0.227931 33.0339 8.37762e-97
0 0.37667 0.50745 0.989505 0.256278 0.787144 6.9616 1.24569e-20
0 0.346908 0.631912 1.03556 1.97399 0.594558 6.78011 4.22325e-20
0 0.413002 0.540307 0.933287 0.146351 0.736302 5.57638 1.38819e-16
0 0.531301 0.465111 0.750238 0.263378 0.852657 3.95123 7.77085e-12
0 0.777052 0.718472 0.369977 1.97589 0.46062 0.99299 0.00341344
0 0.748058 0.591554 0.414841 0.528673 0.657006 1.42361 0.000188406
0 0.799342 0.398188 0.335487 2.08284 0.95621 2.39932 2.65759e-07
0 0.575544 0.723083 0.681779 1.2676 0.453485 2.05232 2.74332e-06
0 0.165744 0.17471 1.31588 2.05827 1.30201 80.7405 3.50182e-236
0 0.138468 0.344684 1.35809 2.113 1.039 58.9847 1.27555e-172
0 0.882818 0.289248 0.206321 2.75634 1.12478 4.74126 3.82219e-14
0 0.762662 0.288701 0.392243 2.49138 1.12562 4.63093 8.02881e-14
0 0.0814949 0.574635 1.44624 2.70284 0.683186 114.006 2.26823e-333
0 0.00525015 0.313114 1.56422 0.212532 1.08785 44554.6 0
0 0.387109 0.580223 0.973354 1.09594 0.674539 5.63255 9.51357e-17
0 0.260734 0.326596 1.1689 0.596701 1.06699 19.6385 1.14527e-57
0 0.512823 0.240994 0.77883 2.24709 1.19944 9.62144 2.11096e-28
0 0.901921 0.877047 0.176762 1.06638 0.21525 0.353412 0.252216
0 0.0285944 0.86376 1.5281 1.64099 0.23581 562.293 4.47091e-1643
0 0.146569 0.550299 1.34555 1.91368 0.720841 34.7629 7.44232e-102
0 0.35795 0.647238 1.01847 2.48757 0.570843 6.8343 2.93318e-20
0 0.497306 0.778305 0.802841 2.68462 0.368038 3.02638 3.91275e-09
0 0.97951 0.137235 0.0567049 1.37116 1.35999 6.08774 4.45104e-18
0 0.976451 0.498743 0.0614387 1.72599 0.800616 1.03745 0.00253106
0 0.304222 0.672921 1.10161 1.80469 0.531104 8.01727 1.02607e-23
0 0.866423 0.504549 0.23169 0.468624 0.791633 1.30122 0.000429208
0 0.56192 0.439248 0.70286 2.74049 0.892675 5.1115 3.16679e-15
0 0.781456 0.699332 0.363163 0.455863 0.490237 0.969557 0.00399627
0 0.33991 0.174912 1.04639 1.97901 1.30169 24.012 1.91121e-70
0 0.0876205 0.843471 1.43676 1.57429 0.267204 66.9992 4.90493e-196
0 0.817979 0.310206 0.306649 2.07111 1.09235 3.19989 1.21771e-09
0 0.344568 0.621268 1.03918 1.18912 0.611028 6.5883 1.53477e-19
0 0.292401 0.370686 1.1199 1.86657 0.998765 14.5717 7.2778e-43
0 0.741473 0.489207 0.42503 1.4726 0.815373 1.9454 5.63173e-06
0 0.324519 0.9197 1.0702 1.50048 0.149252 5.6435 8.83766e-17
0 0.391548 0.775552 0.966484 1.70531 0.372298 4.42566 3.19435e-13
0 0.344856 0.6441 1.03873 0.739955 0.5757 6.42078 4.73658e-19
0 0.65044 0.436952 0.565889 0.92124 0.896228 2.85959 1.20163e-08
0 0.427309 0.918435 0.91115 0.829681 0.151209 3.19518 1.25698e-09
0 0.0633064 0.409741 1.47439 1.31401 0.938333 201.494 5.66767e-589
0 0.0958492 0.866638 1.42403 0.670974 0.231356 57.6501 1.01144e-168
0 0.347332 0.395778 1.0349 1.91242 0.95994 10.3064 2.105e-30
0 0.971343 0.639402 0.0693429 1.36356 0.582969 0.60699 0.045806
0 0.149987 0.25971 1.34026 0.906971 1.17048 63.2779 3.65401e-185
0 0.861746 0.846844 0.238926 2.63176 0.261986 0.505612 0.090596
0 0.573792 0.765564 0.68449 2.60401 0.387753 2.21082 9.44496e-07
0 0.24583 0.834611 1.19196 2.71617 0.280914 11.1099 9.45749e-33
0 0.691758 0.188601 0.501956 2.078 1.28051 7.537 2.59624e-22
0 0.0394171 0.768261 1.51135 0.412641 0.38358 349.312 7.75673e-1021
0 0.280574 0.684438 1.1382 2.24955 0.513282 9.66702 1.55347e-28
0 0.487244 0.525684 0.81841 0.784486 0.758929 4.02486 4.73525e-12
0 0.693014 0.852168 0.500013 2.25125 0.253747 1.06861 0.00205246
0 0.778076 0.00196365 0.368392 2.89249 1.56931 1219.22 2.4472e-3562
0 0.76211 0.797759 0.393098 1.36637 0.337936 0.836862 0.00975743
0 0.107613 0.073931 1.40583 3.12844 1.45795 615.273 7.33208e-1798
0 0.462099 0.471538 0.857317 2.1757 0.842713 5.54959 1.66237e-16
0 0.061935 0.468302 1.47651 1.94671 0.84772 192.574 6.50187e-563
0 0.818122 0.370419 0.306427 1.34908 0.999178 2.33095 4.20966e-07
0 0.88252 0.0126471 0.206781 2.3378 1.55277 101.201 5.85006e-296
0 0.430104 0.645507 0.906824 2.13398 0.573522 4.56395 1.25992e-13
0 0.377589 0.983818 0.988083 1.55766 0.0500398 4.01004 5.23167e-12
0 0.0738737 0.0479007 1.45804 2.39889 1.49822 1347.08 6.95931e-3936
0 0.281646 0.415529 1.13654 0.353524 0.929378 14.1376 1.34954e-41
0 0.790056 0.865565 0.349855 0.4305 0.233017 0.625521 0.0404376
0 0.772608 0.958358 0.376854 3.0562 0.0894339 0.581559 0.054353
0 0.793701 0.0935314 0.344216 0.471619 1.42762 12.0798 1.38758e-35
0 0.712562 0.657505 0.469765 2.6911 0.554958 1.69692 2.99648e-05
0 0.28159 0.832955 1.13663 1.44168 0.283476 7.81232 4.07348e-23
0 0.0690358 0.57576 1.46552 2.03694 0.681445 135.176 3.21548e-395
0 0.977612 0.855626 0.0596423 1.14169 0.248396 0.262417 0.46518
0 0.802857 0.114835 0.330048 1.60568 1.39465 9.78278 7.13024e-29
0 0.768075 0.564028 0.383867 0.736075 0.699598 1.43635 0.000172931
0 0.109942 0.734485 1.40223 0.11341 0.435843 53.4706 1.64253e-156
0 0.960281 0.850251 0.0864582 2.71999 0.256712 0.309307 0.339335
0 0.821139 0.0713065 0.30176 0.122877 1.46201 15.5692 8.86272e-46
0 0.0141913 0.750148 1.55038 1.60123 0.411606 2348.25 0
0 0.0755591 0.00838328 1.45543 2.20321 1.55937 6982.76 0
0 0.706535 0.860833 0.479092 1.06221 0.24034 0.933031 0.00510938
0 0.0620284 0.0566836 1.47636 0.46338 1.48463 1627.45 5.13824e-4755
0 0.243771 0.691581 1.19515 1.58327 0.502231 11.5352 5.41118e-34
0 0.741771 0.322691 0.424569 1.40572 1.07303 3.32142 5.37653e-10
0 0.453663 0.0985667 0.870371 1.78535 1.41983 26.521 8.93117e-78
0 0.405194 0.845478 0.94537 0.726326 0.264099 3.79236 2.26263e-11
0 0.217232 0.131951 1.23621 0.980474 1.36817 62.4449 9.9155e-183
0 0.946967 0.782183 0.10706 2.09277 0.362038 0.407855 0.17487
0 0.270125 0.772372 1.15437 2.60339 0.377219 9.87455 3.84594e-29
0 0.277144 0.893372 1.14351 2.87353 0.189991 8.44652 5.71626e-25
0 0.934215 0.291732 0.126793 0.534408 1.12093 2.54325 1.00919e-07
0 0.937304 0.938518 0.122012 0.613299 0.120133 0.246496 0.517768
0 0.465641 0.483144 0.851838 2.1847 0.824754 5.34734 6.48065e-16
0 0.295361 0.509024 1.11532 2.07836 0.784709 11.0778 1.17351e-32
0 0.200544 0.210158 1.26203 1.22206 1.24716 45.308 1.15698e-132
0 0.570499 0.376574 0.689586 2.2398 0.989654 4.96243 8.63287e-15
0 0.13064 0.668386 1.3702 1.99753 0.538121 37.4479 1.06473e-109
0 0.624203 0.165731 0.606486 0.850061 1.3159 9.11034 6.57209e-27
0 0.740679 0.870371 0.426259 1.63075 0.225581 0.794856 0.0129437
0 0.387588 0.494477 0.972612 2.1404 0.807218 7.16614 3.14645e-21
0 0.899146 0.343431 0.181056 0.298504 1.04094 2.17229 1.224e-06
0 0.71381 0.0668854 0.467834 1.93297 1.46885 21.1388 4.73859e-62
0 0.298999 0.423284 1.10969 0.744596 0.917378 11.9742 2.82312e-35
0 0.131804 0.2714 1.3684 2.07747 1.15239 79.7095 3.60075e-233
0 0.907511 0.943354 0.168111 1.1514 0.112651 0.284641 0.400583
0 0.36678 0.876217 1.00481 1.13178 0.216534 4.52646 1.62138e-13
0 0.0728712 0.766717 1.45959 1.79246 0.385969 99.4855 6.01666e-291
0 0.684644 0.908331 0.512964 1.8223 0.166843 0.971454 0.00394559
0 0.0614215 0.885457 1.4773 0.302418 0.202238 136.726 9.50297e-400
0 0.512614 0.53267 0.779153 2.94877 0.74812 5.12658 2.86146e-15
0 0.790428 0.76506 0.34928 1.87667 0.388533 0.82683 0.0104387
0 0.0174089 0.875454 1.54541 2.84806 0.217715 1610.18 1.46789e-4704
0 0.745857 0.931756 0.418247 0.462713 0.130596 0.675485 0.0288941
0 0.396917 0.101803 0.958177 2.0698 1.41482 32.9912 1.11655e-96
0 0.152656 0.499939 1.33613 1.91988 0.798766 34.9161 2.65554e-102
0 0.681779 0.281494 0.517397 0.138686 1.13678 4.4723 2.3341e-13
0 0.570173 0.727522 0.69009 1.16594 0.446618 2.07541 2.34868e-06
0 0.86091 0.178275 0.240221 2.68053 1.29649 8.50955 3.74062e-25
0 0.495991 0.266815 0.804875 2.34097 1.15949 9.37118 1.13667e-27
0 0.1414 0.950735 1.35355 0.477852 0.101229 26.9364 5.46351e-79
0 0.363394 0.897937 1.01005 0.523971 0.182927 4.57968 1.13342e-13
0 0.731333 0.746962 0.44072 1.36898 0.416537 1.06433 0.00211242
0 0.962101 0.804039 0.0836432 0.775507 0.328219 0.337983 0.279802
0 0.667326 0.58669 0.53976 2.38392 0.664532 2.18925 1.09201e-06
0 0.951355 0.00309458 0.10027 0.561827 1.56756 318.725 1.79594e-931
0 0.638943 0.609686 0.583679 1.00391 0.62895 1.97091 4.74359e-06
0 0.29306 0.57949 1.11888 2.56103 0.675674 11.0515 1.40067e-32
0 0.261557 0.23411 1.16762 3.0227 1.21009 40.0905 2.02628e-117
0 0.299126 0.0668346 1.10949 0.76716 1.46893 72.1233 5.24967e-211
0 0.724468 0.766091 0.451342 2.2764 0.386937 1.13213 0.00133873
0 0.186966 0.614219 1.28304 1.02656 0.621936 20.1518 3.62291e-59
0 0.782153 0.80816 0.362084 1.63682 0.321843 0.757226 0.0166723
0 0.996265 0.0325215 0.0307791 1.51786 1.52202 28.2984 5.73084e-83
0 0.673494 0.967073 0.530217 1.00003 0.0759487 0.917744 0.00566279
0 0.858741 0.104478 0.243576 0.507494 1.41068 9.69413 1.29451e-28
0 0.723076 0.574432 0.453497 0.736785 0.6835 1.60808 5.44684e-05
0 0.443633 0.256907 0.885891 3.13861 1.17482 17.8034 2.63069e-52
0 0.144175 0.281442 1.34926 0.786196 1.13686 64.0496 2.03368e-187
0 0.725491 0.115817 0.44976 0.675873 1.39313 10.8034 7.43707e-32
0 0.124497 0.548588 1.3797 2.81166 0.723489 56.6027 1.1609e-165
0 0.915558 0.2349 0.15566 2.91589 1.20887 7.77247 5.32571e-23
0 0.351669 0.979518 1.02819 1.71463 0.0566932 4.6648 6.39279e-14
0 0.810335 0.579767 0.318477 1.68543 0.675244 1.24907 0.000609603
0 0.934738 0.323488 0.125983 2.95302 1.0718 4.54279 1.45262e-13
0 0.392815 0.223326 0.964523 1.69544 1.22678 14.3361 3.55024e-42
0 0.667526 0.107198 0.539451 0.612855 1.40647 13.1504 1.03333e-38
0 0.0644756 0.514261 1.47258 1.99836 0.776605 166.686 2.79563e-487
0 0.0853577 0.157741 1.44027 0.413563 1.32826 324.532 1.93987e-948
0 0.101058 0.517387 1.41597 3.10555 0.771769 97.5372 2.96072e-285
0 0.496604 0.265548 0.803926 1.81365 1.16145 8.37614 9.17725e-25
0 0.0896757 0.122917 1.43358 1.14704 1.38215 326.828 3.80947e-955
0 0.802817 0.789243 0.330111 1.97617 0.351114 0.742477 0.0184115
0 0.834545 0.798756 0.281015 0.10008 0.336394 0.607928 0.0455181
0 0.0788623 0.399662 1.45032 2.91607 0.953929 182.272 8.14859e-533
0 0.68816 0.248342 0.507524 2.99645 1.18807 9.568 3.02413e-28
0 0.187982 0.0569987 1.28147 2.27308 1.48415 205.684 3.241e-601
0 0.274926 0.24517 1.14694 1.85876 1.19298 23.8953 4.19005e-70
