mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=1000
Generation x y theta psi phi lattice_sum fitness
0 0.606059 0.800368 0.634563 1.26913 0.3339 112.565 1.23097
0 0.0206759 0.566141 1.54035 0.6678 0.69633 132.705 1.17978
0 0.322202 0.75769 1.07379 3.0807 0.399936 126.803 1.2244
0 0.748002 0.926771 0.414927 1.39266 0.13831 100.428 1.44533
0 0.617198 0.0525391 0.617326 2.14757 1.49105 119.639 1.28083
0 0.84158 0.270177 0.270131 0.799872 1.15429 108.55 1.37335
0 0.0863763 0.264795 1.43869 0.829855 1.16262 132.428 1.18184
0 0.463302 0.854405 0.855456 0.276621 0.250286 119.767 1.2798
0 0.0839213 0.0933612 1.44249 1.23465 1.42788 132.461 1.18159
0 0.978316 0.80191 0.0585525 2.9821 0.331514 88.0956 1.56191
0 0.146877 0.591677 1.34507 0.540262 0.656817 131.644 1.18768
0 0.296391 0.311738 1.11373 2.30857 1.08998 129.198 1.20609
0 0.44581 0.367816 0.882522 2.87738 1.00321 124.685 1.24082
0 0.810196 0.0342942 0.318693 2.32523 1.51928 111.53 1.34785
0 0.637377 0.0260629 0.586102 1.71091 1.53202 118.877 1.28699
0 0.117348 0.574802 1.39077 0.500572 0.682928 132.044 1.1847
0 0.501322 0.752503 0.796626 2.88498 0.407964 119.057 1.28553
0 0.74759 0.455612 0.415565 2.85576 0.867356 110.679 1.35509
0 0.318385 0.97647 1.07969 0.117105 0.061409 125.59 1.23377
0 0.534048 0.166699 0.745987 0.663028 1.3144 122.468 1.25824
0 0.428117 0.129222 0.9099 2.69015 1.37239 126.051 1.23021
0 0.768805 0.586922 0.382738 1.31363 0.664174 107.188 1.38517
0 0.356572 0.571506 1.0206 2.22745 0.688028 126.627 1.22575
0 0.563705 0.85196 0.700099 2.17996 0.254069 114.189 1.3255
0 0.130364 0.649823 1.37063 1.76504 0.566845 131.827 1.18632
0 0.663699 0.233064 0.545373 2.00641 1.21171 117.043 1.30192
0 0.56707 0.51484 0.694892 0.637386 0.775709 118.7 1.28842
0 0.995086 0.933387 0.0326037 3.03856 0.128074 82.2937 1.61996
0 0.304827 0.868649 1.10067 1.1722 0.228245 126.814 1.22431
0 0.293525 0.401056 1.11816 3.06403 0.951772 129.065 1.2071
0 0.777553 0.198497 0.369202 2.78153 1.2652 112.252 1.34174
0 0.026876 0.869686 1.53076 1.36586 0.22664 132.679 1.17997
0 0.533069 0.181765 0.747503 1.59325 1.29109 122.452 1.25837
0 0.822646 0.744228 0.299428 0.815927 0.420767 100.239 1.44705
0 0.966396 0.849853 0.0769975 0.831129 0.257329 87.284 1.5699
0 0.0487935 0.092849 1.49684 1.73471 1.42867 132.636 1.18029
0 0.629747 0.554229 0.597908 2.15939 0.71476 115.211 1.31701
0 0.615557 0.210961 0.619865 0.122818 1.24591 119.172 1.2846
0 0.204261 0.140705 1.25628 1.49197 1.35463 131.151 1.19137
