mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.659432 0.473473 0.551976 1.10395 0.839719 330.118 0.609665
0 0.0169964 0.881032 1.54604 1.67944 0.209084 524.882 0.157869
0 0.0368407 0.0266115 1.51534 3.09209 1.53117 524.424 0.282752
0 0.12535 0.353694 1.37838 0.418168 1.02506 515.716 0.293267
0 0.0346715 0.564488 1.51869 3.03068 0.698887 524.301 0.276762
0 0.447416 0.351227 0.880038 3.06233 1.02887 424.111 0.435443
0 0.387966 0.41773 0.972028 2.75677 0.925972 442.247 0.321785
0 0.425861 0.673143 0.913391 2.05012 0.530761 407.353 0.396687
0 0.344742 0.0695697 1.03891 3.03739 1.4647 467.273 0.272593
0 0.833314 0.50538 0.282921 1.39777 0.790347 262.41 0.814486
0 0.477647 0.951649 0.83326 1.76008 0.0998155 349.861 0.338698
0 0.331642 0.0321313 1.05918 2.05775 1.52263 471.354 0.225146
0 0.524856 0.3078 0.76021 1.94406 1.09607 398.032 0.440517
0 0.863094 0.3731 0.236841 1.85194 0.99503 273.246 0.697688
0 0.245469 0.0822707 1.19252 1.82678 1.44504 494.102 0.150179
0 0.513527 0.598533 0.777742 1.06152 0.646207 375.81 0.508706
0 0.256868 0.402228 1.17488 2.07782 0.949959 486.194 0.226133
0 0.673011 0.58434 0.530964 2.92939 0.668169 309.411 0.675906
0 0.750637 0.00604343 0.41085 0.565842 1.56299 334.765 0.420625
0 0.894108 0.41974 0.188851 1.58069 0.922861 256.956 0.680598
0 0.914629 0.124885 0.157099 1.66652 1.3791 285.56 0.489982
0 0.0255421 0.968903 1.53282 0.199631 0.0731182 524.474 0.132523
0 0.689757 0.647584 0.505053 2.11836 0.570309 293.031 0.767105
0 0.521591 0.233558 0.765263 3.04525 1.21095 403.702 0.272178
0 0.199063 0.278348 1.26432 1.52042 1.14164 502.873 0.226315
0 0.150431 0.83563 1.33957 2.19214 0.279337 504.897 0.292189
0 0.433219 0.799666 0.902004 0.473682 0.334985 390.966 0.485136
0 0.0735952 0.528863 1.45847 1.99006 0.75401 521.42 0.198388
0 0.503392 0.622575 0.793424 2.38504 0.609007 377.613 0.529647
0 0.76693 0.716193 0.385639 2.89009 0.464148 251.377 0.753678
0 0.524256 0.300873 0.761139 1.55548 1.10679 398.722 0.243662
0 0.199374 0.542229 1.26384 1.29241 0.733329 498.383 0.227991
0 0.557263 0.764077 0.710066 2.34976 0.390054 334.757 0.615129
0 0.57294 0.43476 0.685809 1.89992 0.89962 368.691 0.372706
0 0.138861 0.627273 1.35748 1.06193 0.601737 510.884 0.194716
0 0.980328 0.883657 0.0554396 1.33634 0.205022 156.969 1.36685
0 0.369503 0.0558586 1.0006 0.8217 1.48591 459.836 0.107583
0 0.788884 0.0683331 0.351669 3.12598 1.46661 322.439 0.610617
0 0.526159 0.723319 0.758195 0.377701 0.45312 354.975 0.388919
0 0.161552 0.277369 1.32237 1.84572 1.14316 510.294 0.186521
0 0.255962 0.73437 1.17628 0.314198 0.43602 474.43 0.339862
0 0.519296 0.148992 0.768814 2.75821 1.3418 408.158 0.423268
0 0.631327 0.515464 0.595463 3.06564 0.774743 335.858 0.521316
0 0.511395 0.554401 0.78104 0.146236 0.714494 381.559 0.348766
0 0.0267458 0.0578485 1.53096 1.01011 1.48283 524.771 0.189209
0 0.549705 0.808253 0.721762 1.14062 0.321699 332.267 0.647855
0 0.774323 0.756642 0.3742 1.53053 0.401558 241.923 0.734884
0 0.584819 0.34063 0.667427 2.4219 1.04527 373.049 0.2757
0 0.952291 0.30347 0.0988216 2.52865 1.10277 257.885 0.723622
0 0.747522 0.521717 0.41567 2.28329 0.765069 289.892 0.478534
1 0.980328 0.883657 0.0554396 1.33634 0.205022 156.969 1.36685
1 0.773981 0.00585794 0.410824 0.531654 1.54663 327.776 0.231101
1 0.95216 0.383695 0.0483322 1.30497 0.193329 246.127 0.71272
1 0.125214 0.353673 1.37747 0.386658 1.08747 515.736 0.117178
1 0.513302 0.598243 0.338325 3.09326 1.44997 375.942 0.528296
1 0.766903 0.716134 0.362491 2.8516 0.459156 251.397 0.751597
1 0.447401 0.351965 0.749149 2.75494 1.32914 424.072 0.209037
1 0.631194 0.542104 1.25664 1.25664 0.724983 332.417 0.546618
1 0.672931 0.58433 0.507488 2.27161 0.749149 309.445 0.510281
1 0.689529 0.647547 0.483322 2.02995 1.03914 293.13 0.530539
1 0.833293 0.419575 0.169163 1.54663 0.918312 275.752 0.564562
1 0.689529 0.647547 0.483322 2.89993 0.652485 293.13 0.490699
1 0.524042 0.300708 0.749149 1.30497 0.193329 398.812 0.279959
1 0.425677 0.672931 0.362491 2.8516 0.459156 407.456 0.35842
1 0.256773 0.497437 0.773315 2.36828 0.604152 483.426 0.251835
1 0.894069 0.419331 1.44997 1.98162 0.749149 257.032 0.852475
