mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.603418 0.568393 0.638648 1.2773 0.692845 234.664 0.0694662
0 0.876188 0.464113 0.21658 1.38569 0.854202 165.052 0.721089
0 0.143942 0.326439 1.34962 0.433161 1.06723 422.209 0.0471175
0 0.957805 0.61596 0.0902905 1.7084 0.619242 125.055 1.35155
0 0.768412 0.426002 0.383346 2.69923 0.913172 198.609 0.31737
0 0.487517 0.477881 0.817987 2.13446 0.832897 292.215 0.208907
0 0.944274 0.233285 0.111228 0.180581 1.21137 181.948 0.748856
0 0.019792 0.174316 1.54172 1.23848 1.30262 437.467 0.0491863
0 0.318697 0.0397625 1.07921 0.766692 1.51082 376.341 0.349273
0 0.507832 0.472075 0.786553 1.82634 0.841882 284.394 0.488136
0 0.452363 0.280087 0.872383 1.63597 1.13895 321.741 0.267914
0 0.642763 0.0024132 0.577768 1.66579 1.56861 266.994 0.456934
0 0.39405 0.373379 0.962613 0.222455 0.994599 338.847 0.215958
0 0.818925 0.414664 0.305185 2.42274 0.930717 186.452 0.814476
0 0.237109 0.990269 1.20546 3.08344 0.0400575 368.941 0.0959942
0 0.927211 0.83143 0.137629 2.60523 0.285836 105.215 1.4281
0 0.13177 0.805882 1.36845 2.15842 0.325367 418.369 0.0218092
0 0.26367 0.944825 1.16436 3.02164 0.110375 358.186 0.362781
0 0.121561 0.843085 1.38425 1.57311 0.267801 420.573 0.197286
0 0.465794 0.930227 0.8516 1.68376 0.132964 250.12 0.669462
0 0.375456 0.495087 0.991385 1.74477 0.806274 338.363 0.196827
0 0.796062 0.74764 0.340563 2.27791 0.415488 145.27 1.06198
0 0.766888 0.999818 0.385704 1.15554 0.0252815 123.886 0.771424
0 0.299451 0.171906 1.10899 3.13722 1.30635 381.098 0.0434441
0 0.675345 0.244258 0.527353 1.92523 1.19439 246.71 0.620473
0 0.59296 0.388787 0.65483 1.9892 0.970756 260.141 0.355526
0 0.0258381 0.811971 1.53236 0.610371 0.315946 436.976 0.098712
0 0.714217 0.308689 0.467205 1.86143 1.0947 228.863 0.779745
0 0.0566079 0.880917 1.48475 2.41091 0.209262 433.794 0.0792105
0 0.318431 0.10552 1.07962 0.0801151 1.40907 375.847 0.346033
0 0.101115 0.686728 1.41588 0.275258 0.50974 427.411 0.205372
0 0.00106262 0.084803 1.5707 0.571672 1.44112 437.749 0.240408
0 0.535282 0.868289 0.744078 2.7369 0.228802 223.973 0.802029
0 0.624792 0.310942 0.605576 0.650734 1.09121 256.851 0.326921
0 0.140562 0.00826821 1.35485 2.32871 1.55955 424.331 0.106121
0 0.275216 0.558401 1.14649 0.220751 0.708305 376.11 0.334773
0 0.120338 0.970408 1.38614 2.76849 0.0707889 418.702 0.216723
0 0.0974869 0.895007 1.4215 0.535602 0.18746 426.009 0.248082
0 0.0403744 0.460184 1.50987 1.7032 0.86028 436.371 0.240927
0 0.4619 0.0863743 0.857626 0.265927 1.43869 325.827 0.458598
0 0.743101 0.720757 0.422511 1.98277 0.457085 164.302 0.915115
0 0.220324 0.222478 1.23143 1.61255 1.22809 404.598 0.0553474
0 0.202057 0.215222 1.25969 0.681125 1.23932 409.635 0.257601
0 0.901248 0.102693 0.177803 0.830975 1.41344 201.315 0.86214
0 0.308201 0.781433 1.09545 0.771409 0.363199 347.542 0.131241
0 0.468285 0.852106 0.847746 0.0505631 0.253843 258.426 0.525422
0 0.0044182 0.171988 1.56551 2.21798 1.30622 437.736 0.0969129
0 0.589558 0.625145 0.660095 2.61269 0.605029 232.658 0.764934
0 0.986418 0.0334348 0.0460165 1.05471 1.52061 188.704 0.591961
0 0.709709 0.530098 0.474179 2.38879 0.752099 201.98 0.440608
1 0.927211 0.83143 0.137629 2.60523 0.285836 105.215 1.4281
1 0.876007 0.462045 0.797481 2.12662 0.821647 165.401 0.0288076
1 0.92702 0.83134 0.12083 2.56161 0.193329 105.261 0.990056
1 0.957774 0.615816 0.0724983 1.73996 0.99081 125.08 0.642464
1 0.957774 0.615816 0.0724983 1.78829 0.821647 125.08 0.702952
1 0.589456 0.625092 0.652485 2.65827 0.362491 232.706 0.219544
1 0.818892 0.41445 0.362491 0.193329 0.700817 186.491 0.602744
1 0.901147 0.102514 0.169163 0.821647 1.4258 201.344 0.438472
1 0.899195 0.0861606 0.845813 0.241661 1.4258 202.527 0.464872
1 0.876007 0.463998 0.193329 1.3533 0.797481 165.111 0.646988
1 0.624603 0.310715 0.724983 2.7066 0.217495 256.936 0.23054
1 0.957774 0.615816 0.169163 0.821647 1.40163 125.08 1.04518
1 0.944105 0.233097 0.0724983 2.36828 0.749149 182.002 0.379863
1 0.624603 0.0583354 1.13581 0.193329 0.700817 271.905 0.224616
1 0.92702 0.83134 0.12083 1.88496 1.18414 105.261 1.24802
1 0.468147 0.852087 0.845813 0.0483322 0.241661 258.498 0.137927
1 0.818892 0.406395 0.652485 2.60994 0.604152 187.62 0.651322
1 0.92702 0.033195 0.0241661 1.01498 1.4983 198.974 0.450396
1 0.0973883 0.901879 1.13581 0.193329 0.700817 425.954 0.0647832
1 0.768367 0.425921 0.362491 2.65827 0.821647 198.633 0.901993
1 0.53527 0.868196 0.628319 0.531654 0.169163 223.991 0.380339
1 0.926776 0.463998 0.193329 1.3533 0.845813 153.613 0.765929
1 0.986331 0.308518 0.459156 1.83662 1.08747 164.458 0.531676
