mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.382627 0.694208 0.980288 1.96058 0.498166 467.474 0.284219
0 0.449949 0.274019 0.876118 0.996331 1.14834 469.454 0.371798
0 0.012317 0.564251 1.55329 1.75224 0.699253 560.463 0.253967
0 0.64783 0.583924 0.569927 2.29668 0.668812 364.147 0.659566
0 0.5287 0.845793 0.754263 3.10657 0.26361 382.512 0.449178
0 0.907371 0.120607 0.168328 1.39851 1.38572 327.395 0.599775
0 0.951732 0.454778 0.0996876 1.13985 0.868646 273.798 0.710732
0 0.791955 0.761916 0.346916 1.33762 0.393397 275.823 0.645807
0 0.148402 0.366449 1.34271 1.50853 1.00532 548.493 0.157043
0 0.949499 0.295405 0.103142 0.527221 1.11525 298.938 0.839441
0 0.40418 0.109004 0.946939 0.336657 1.40368 489.199 0.228703
0 0.170256 0.553988 1.3089 2.77145 0.715135 542.393 0.286121
0 0.660056 0.659384 0.551011 0.199375 0.55205 347.929 0.68723
0 0.483225 0.403725 0.824629 1.73729 0.947642 449.904 0.315073
0 0.637785 0.174203 0.585471 0.693833 1.30279 409.018 0.466188
0 0.800544 0.230105 0.333627 0.786795 1.21629 350.984 0.562027
0 0.168674 0.0250894 1.31135 2.68543 1.53352 546.875 0.199741
0 0.540865 0.179323 0.735439 2.01064 1.29487 442.237 0.476734
0 0.772811 0.0223806 0.376539 0.206284 1.53771 369.844 0.545323
0 0.790252 0.881587 0.349552 2.2305 0.208225 256.11 0.820285
0 0.703897 0.467214 0.483174 1.89388 0.849403 357.622 0.405187
0 0.560078 0.0507427 0.705711 2.80736 1.49383 439.154 0.339096
0 0.868467 0.966947 0.228527 2.6178 0.0761442 212.917 1.07508
0 0.634608 0.598309 0.590387 1.43027 0.646554 367.743 0.344623
0 0.170586 0.197259 1.30839 1.10202 1.26712 546.036 0.21011
0 0.893317 0.885208 0.190076 1.1041 0.202622 217.309 1.15483
0 0.859673 0.555123 0.242133 1.64926 0.713378 286.51 0.548753
0 0.904437 0.0455677 0.172869 1.89528 1.50183 331.149 0.496621
0 0.803629 0.320166 0.328854 1.17094 1.07694 340.659 0.515776
0 0.520786 0.260597 0.766508 2.60558 1.16911 445.372 0.316547
0 0.0289471 0.485719 1.52755 0.667253 0.820769 560.052 0.240505
0 0.230738 0.507384 1.21531 2.43258 0.787246 529.107 0.346992
0 0.837489 0.670326 0.27646 2.62269 0.535118 274.358 0.907167
0 0.826359 0.802204 0.293683 3.06704 0.331058 255.484 0.718643
0 0.138766 0.60432 1.35762 1.47088 0.637253 547.849 0.146888
0 0.241155 0.183101 1.19919 2.58974 1.28902 532.362 0.334965
0 0.6768 0.996251 0.525101 0.753079 0.0308006 286.675 0.866483
0 0.7262 0.707177 0.448662 3.07543 0.478097 312.031 0.548001
0 0.541376 0.326762 0.734649 0.699105 1.06673 433.779 0.312763
0 0.647604 0.448005 0.570277 0.41645 0.879126 381.859 0.510407
0 0.364546 0.943969 1.00827 0.966348 0.111699 454.393 0.333257
0 0.416747 0.0543113 0.927493 1.69881 1.48831 485.953 0.337688
0 0.325054 0.184685 1.06937 1.41142 1.28657 511.219 0.323527
0 0.588068 0.428907 0.662401 2.98765 0.908678 407.253 0.518939
0 0.275457 0.8148 1.14612 0.457055 0.311568 503.162 0.282608
0 0.906887 0.431624 0.169078 0.152288 0.904473 291.517 0.82344
0 0.927459 0.0921052 0.137245 1.18077 1.42983 323.387 0.521823
0 0.250776 0.94613 1.18431 1.29311 0.108356 506.093 0.225214
0 0.384456 0.182381 0.977458 2.61678 1.29014 493.842 0.361453
0 0.087564 0.78861 1.43685 2.53423 0.352093 554.489 0.274858
1 0.893317 0.885208 0.190076 1.1041 0.202622 217.309 1.15483
1 0.618501 0.966805 0.217495 2.60994 0.0724983 319.544 0.374854
1 0.138638 0.604101 1.3533 1.44997 0.628319 547.875 0.181231
1 0.587991 0.42885 0.652485 1.06331 0.193329 407.289 0.547829
1 0.906761 0.431535 0.144997 0.193329 0.241661 291.571 0.732194
1 0.0122041 0.564071 1.54663 1.73996 0.676651 560.465 0.155642
1 0.483036 0.40371 0.821647 1.69163 0.942478 449.976 0.472386
1 0.826214 0.80205 0.289993 2.94826 0.628319 255.566 0.903393
1 0.893093 0.885282 0.0966644 1.11164 0.845813 217.373 0.854098
1 0.13815 0.966805 0.217495 2.60994 0.0724983 542.805 0.131175
1 0.86844 0.966805 0.289993 1.73996 0.676651 212.948 1.17198
1 0.170369 0.197217 1.30497 2.51327 0.338325 546.073 0.126601
1 0.893093 0.885038 0.169163 1.06331 0.169163 217.413 1.15439
1 0.647547 0.447889 0.55582 0.386658 0.894146 381.895 0.322215
1 0.676593 0.996095 0.507488 1.15997 1.06331 286.798 0.722767
1 0.676593 0.814743 1.13581 0.43499 0.289993 316.083 0.536847
1 0.382475 0.694166 0.966644 1.73996 0.531654 467.542 0.267149
1 0.659995 0.684403 1.06331 1.40163 1.2808 344.152 0.632346
1 0.906761 0.431535 0.144997 0.966644 1.13581 291.571 0.668754
1 0.837442 0.670002 0.217495 2.60994 0.0724983 274.432 0.669988
1 0.951672 0.454723 0.0966644 1.15997 0.193329 273.826 0.653264
1 0.800342 0.229924 0.314159 0.43499 1.2808 351.064 0.436373
1 0.837442 0.72907 1.3533 1.44997 0.628319 264.041 0.770744
1 0.952404 0.966805 0.217495 2.60994 0.0724983 185.837 1.02052
1 0.866 0.183061 1.18414 2.56161 1.2808 334.903 0.387404
1 0.791799 0.761777 0.338325 1.30497 0.338325 275.909 0.711356
1 0.0763974 0.80205 0.289993 3.04493 0.314159 555.87 0.15118
1 0.250671 0.946058 1.18414 1.2083 0.845813 506.139 0.37666
1 0.710276 0.583842 0.55582 2.27161 0.652485 338.335 0.682337
1 0.16866 0.496217 0.507488 0.724983 0.0241661 543.541 0.19574
1 0.800342 0.229924 0.265827 2.60994 0.531654 351.064 0.679739
1 0.33732 0.788382 1.4258 2.51327 0.338325 479.631 0.275404
1 0.904808 0.229924 0.314159 0.773315 1.2083 319.356 0.71344
1 0.545033 0.80205 0.289993 3.04493 0.314159 380.398 0.414538
1 0.397852 0.0222114 0.362491 0.193329 1.52246 491.922 0.27924
1 0.726141 0.707103 0.43499 3.04493 0.459156 312.069 0.74677
1 0.837442 0.524774 1.30497 2.65827 1.52246 299.456 0.610992
1 0.275323 0.814743 1.13581 0.43499 0.289993 503.216 0.213368
1 0.906761 0.431535 0.144997 0.0966644 0.0724983 291.571 0.823307
1 0.92702 0.32658 0.724983 0.676651 1.06331 301.205 0.584427
1 0.170124 0.554064 0.821647 1.69163 0.942478 542.419 0.175964
1 0.403954 0.10886 0.942478 0.289993 1.40163 489.271 0.393115
1 0.791799 0.761777 0.579986 0.676651 1.2808 275.909 0.864889
1 0.79009 0.881377 0.338325 2.17495 0.628319 256.21 0.717686
1 0.884306 0.182329 0.966644 2.60994 1.2808 329.629 0.470384
1 0.90432 0.0453991 0.169163 1.88496 1.4258 331.185 0.538703
1 0.230657 0.5072 1.2083 2.7066 1.06331 529.133 0.205655
1 0.949475 0.295338 0.0966644 0.483322 1.15997 298.954 0.822189
1 0.90432 0.0453991 0.169163 2.60994 0.0724983 331.185 0.508773
2 0.86844 0.966805 0.289993 1.73996 0.676651 212.948 1.17198
