mutation probability per bit=0.01
bias fitness=1e-99
number of Individuals per Generation=1000
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.133837 0.31919 1.36057 2.72113 1.06941 74.2767 0
0 0.854182 0.857153 0.22905 2.13883 0.224383 0.399609 0.071666
0 0.508305 0.140909 0.772352 0.4581 1.34946 13.8955 3.37847e-55
0 0.327389 0.821228 1.05654 0.448767 0.280814 5.56185 2.86869e-22
0 0.0337737 0.353338 1.51774 1.5447 1.01577 704.104 1.99038e-2782
0 0.842512 0.942708 0.247381 2.69892 0.0899932 0.330414 0.134501
0 0.213187 0.629535 1.23592 2.11307 0.581924 15.4062 3.62766e-61
0 0.135328 0.383811 1.35822 0.561628 0.967907 52.4607 1.39877e-207
0 0.313534 0.290045 1.0783 3.03549 1.11519 22.6016 1.34416e-89
0 0.933351 0.667808 0.104692 2.03155 0.521806 0.555866 0.017294
0 0.0488584 0.410999 1.49405 0.494762 0.925201 348.592 1.09624e-1377
0 0.822191 0.434248 0.279302 0.179986 0.888682 1.6838 6.04053e-07
0 0.984656 0.536793 0.0241017 2.47185 0.727603 0.906553 0.000711578
0 0.162501 0.992372 1.31554 1.16385 0.011982 19.0057 2.17195e-75
0 0.0358434 0.976133 1.51449 2.71645 0.0374899 335.717 8.19426e-1327
0 0.886896 0.387434 0.177664 1.93581 0.962216 1.81438 1.84123e-07
0 0.482216 0.576359 0.813332 2.1566 0.665454 3.81327 2.32741e-15
0 0.859589 0.626788 0.220558 2.23039 0.58624 0.872207 0.000972595
0 0.267529 0.844968 1.15056 0.209385 0.243523 8.22156 8.87851e-33
0 0.953918 0.162319 0.0723854 1.04361 1.31583 4.86831 1.57791e-19
0 0.58469 0.156393 0.652367 2.9881 1.32513 17.9977 2.08894e-71
0 0.428392 0.0853858 0.89788 1.8504 1.43667 31.6828 1.76044e-125
0 0.0458756 0.235058 1.49874 0.558604 1.20157 649.678 2.259e-2567
0 0.513078 0.831498 0.764855 1.77736 0.264683 2.14774 8.86993e-09
0 0.896471 0.465231 0.162624 0.0482035 0.840013 1.26485 2.73192e-05
0 0.250528 0.770259 1.17727 1.45521 0.360877 9.48589 8.96601e-38
0 0.325741 0.616702 1.05912 2.63108 0.602083 8.1416 1.83783e-32
0 0.0569502 0.767401 1.48134 0.0239639 0.365365 171.237 6.67601e-677
0 0.528315 0.807524 0.74092 3.02899 0.30234 2.36334 1.24734e-09
0 0.46495 0.711477 0.840455 0.0749798 0.453211 3.11332 1.35701e-12
0 0.478238 0.00978486 0.819581 0.355327 1.55543 227.82 1.76123e-900
0 0.0648537 0.64469 1.46892 1.92443 0.55812 129.201 8.30709e-511
0 0.164206 0.902054 1.31286 1.62666 0.153853 19.1675 4.98417e-76
0 0.821951 0.714899 0.279679 1.33091 0.447836 0.69779 0.00475455
0 0.0560483 0.619227 1.48276 0.441115 0.598117 191.976 7.56777e-759
0 0.938741 0.393908 0.096226 1.17248 0.952048 1.50752 3.00351e-06
0 0.710609 0.936807 0.454574 2.30113 0.099264 0.699022 0.00470154
0 0.239649 0.974262 1.19436 0.487047 0.0404291 9.23873 8.49597e-37
0 0.845706 0.772936 0.242364 0.144771 0.356671 0.525273 0.0228444
0 0.261362 0.618819 1.16025 2.63165 0.598758 12.0172 8.92679e-48
0 0.382598 0.623157 0.969814 1.30473 0.591944 5.04212 3.2458e-20
0 0.712153 0.0347409 0.452149 2.65027 1.51623 52.2775 7.40781e-207
0 0.294072 0.546173 1.10887 1.79576 0.712869 9.41509 1.70744e-37
0 0.313095 0.177753 1.07899 2.87335 1.29158 34.0972 5.07904e-135
0 0.912604 0.154139 0.137281 2.99747 1.32867 16.0505 1.03237e-63
0 0.559731 0.965822 0.691573 2.40313 0.053686 1.46263 4.51864e-06
0 0.305272 0.695427 1.09128 1.52971 0.478422 7.08904 2.65038e-28
0 0.574496 0.413649 0.66838 0.529366 0.921039 3.55444 2.45247e-14
