mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=1000
Generation x y theta psi phi lattice_sum fitness
0 0.599034 0.12062 0.645433 1.29087 1.3857 106.1 0.929782
0 0.558814 0.794447 0.707666 2.77141 0.343061 100.265 1.19691
0 0.808949 0.488988 0.320622 1.41533 0.815712 90.4763 1.2967
0 0.119033 0.794692 1.38816 0.686123 0.342682 120.495 1.01434
0 0.315574 0.127423 1.08404 0.641244 1.37518 116.918 1.04446
0 0.799084 0.203076 0.335886 1.63142 1.25811 95.5966 1.2435
0 0.581887 0.935394 0.671965 2.77632 0.124968 95.7678 1.24176
0 0.517397 0.880407 0.771752 0.685364 0.210051 101.507 1.1848
0 0.88236 0.404106 0.207029 2.16809 0.947053 87.8836 1.32449
0 0.939538 0.44658 0.118556 2.75035 0.88133 83.5073 1.37277
0 0.773059 0.57157 0.376155 0.671771 0.687928 90.867 1.29256
0 0.0539256 0.747665 1.4889 2.51623 0.41545 121.374 1.00707
0 0.09825 0.744829 1.42032 1.34393 0.419837 120.877 1.01117
0 0.465881 0.12631 0.851466 0.249936 1.3769 111.785 1.08925
0 0.617467 0.82761 0.61691 1.5435 0.291747 95.5365 1.24411
0 0.269357 0.76424 1.15556 0.420102 0.389802 116.274 1.04998
0 0.96708 0.362866 0.0759391 0.414058 1.01087 83.8278 1.36918
0 0.59168 0.407361 0.656811 1.89411 0.942016 104.266 1.15837
0 0.471138 0.943375 0.843332 0.237112 0.112618 103.61 1.1646
0 0.953859 0.435521 0.0963957 1.76266 0.898442 82.9207 1.37938
0 0.182745 0.892975 1.28957 0.75231 0.190604 118.773 1.02873
0 0.903883 0.19539 0.173726 1.37586 1.27001 90.0806 1.3009
0 0.39353 0.490199 0.963417 2.9778 0.813838 112.914 1.07924
0 0.635986 0.803607 0.588255 0.830899 0.328887 94.7544 1.2521
0 0.841985 0.410808 0.269503 2.84063 0.936683 90.1258 1.30042
0 0.302363 0.16816 1.10448 0.839675 1.31214 117.239 1.04172
0 0.20408 0.456347 1.25656 1.70293 0.866218 119.225 1.02493
0 0.657381 0.607713 0.555149 2.7538 0.632003 97.4431 1.22486
0 0.22672 0.606794 1.22153 1.23382 0.633424 118.301 1.03271
0 0.552598 0.0370344 0.717285 0.583494 1.51504 108.36 1.12021
0 0.520464 0.377902 0.767008 2.31111 0.987599 108.1 1.1226
0 0.852555 0.028556 0.253148 0.779605 1.52816 93.8194 1.26171
0 0.78129 0.890148 0.363419 0.151878 0.194979 81.5959 1.39441
0 0.164938 0.938162 1.31713 2.02173 0.120684 119.184 1.02528
0 0.153199 0.479555 1.33529 1.31362 0.830308 120.225 1.01658
0 0.968103 0.622231 0.074355 1.88403 0.609538 76.7086 1.45129
0 0.727476 0.24913 0.446688 1.68666 1.18685 98.9146 1.2102
0 0.0890632 0.946201 1.43453 0.225236 0.108245 120.876 1.01118
0 0.090756 0.608662 1.43191 0.192791 0.630535 121.054 1.00972
0 0.509145 0.976746 0.784521 1.79688 0.0609819 100.336 1.19621
0 0.818296 0.268767 0.306159 2.57915 1.15647 93.8182 1.26172
0 0.515986 0.797269 0.773935 0.381208 0.338694 103.021 1.17022
0 0.711244 0.193821 0.471804 0.347453 1.27244 100.245 1.1971
0 0.861726 0.362732 0.238957 2.54002 1.01107 89.9018 1.3028
0 0.56841 0.766287 0.692817 1.92683 0.386634 100.149 1.19804
0 0.0589149 0.787827 1.48118 1.62768 0.353305 121.322 1.0075
0 0.94188 0.543428 0.114931 1.17651 0.731475 80.7836 1.4037
0 0.550112 0.352986 0.721131 0.657774 1.02615 106.901 1.13366
0 0.277323 0.735751 1.14323 0.539006 0.433884 116.113 1.05136
0 0.536181 0.449589 0.742688 1.87337 0.876674 106.643 1.13605
1 0.968103 0.622231 0.074355 1.88403 0.609538 76.7086 1.45129
1 0.164755 0.938003 1.30497 1.98162 0.0966644 119.189 0.81452
1 0.852087 0.608494 1.4258 0.144997 0.628319 84.7835 1.35851
1 0.65731 0.607518 0.531654 2.7066 1.30497 97.4513 1.22478
1 0.226507 0.606785 1.2083 1.15997 0.724983 118.307 1.03266
1 0.781059 0.622163 0.0724983 1.83662 0.604152 89.1305 1.31105
1 0.808885 0.488894 1.47413 1.59496 0.338325 90.4823 1.29663
