mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=50
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.832549 0.948428 0.284104 0.568207 0.1048 152.169 1.03369
0 0.15852 0.318555 1.32706 0.209599 1.07943 468.26 0.0540647
0 0.15195 0.387617 1.33723 2.65412 0.972566 468.889 0.268881
0 0.890805 0.27388 0.193963 2.15886 1.14856 234.648 0.854873
0 0.858409 0.114288 0.244091 2.67445 1.3955 256.844 0.441006
0 0.627325 0.373372 0.601657 1.94513 0.994609 304.827 0.342063
0 0.4597 0.0362524 0.861029 0.387925 1.51625 382.798 0.247286
0 0.735872 0.790613 0.433697 2.29711 0.348993 205.592 0.868545
0 0.961739 0.640249 0.0842026 0.488181 0.581658 160.81 0.815596
0 0.950629 0.954921 0.101394 2.791 0.0947527 122.112 0.99745
0 0.898739 0.643408 0.181685 1.20331 0.576771 176.571 0.558853
0 0.683096 0.707355 0.515359 1.98922 0.477823 238.257 0.40995
0 0.717937 0.336241 0.461449 1.72206 1.05206 277.37 0.386383
0 0.879253 0.854353 0.211837 3.0325 0.250366 151.234 1.00809
0 0.691869 0.392933 0.501785 0.867393 0.964341 279.512 0.260988
0 0.349213 0.359249 1.03199 0.697986 1.01646 411.93 0.18417
0 0.240005 0.307604 1.20097 0.168405 1.09637 448.771 0.249356
0 0.378811 0.71853 0.986193 1.16332 0.460531 375.398 0.40646
0 0.580905 0.440358 0.673483 0.202787 0.890958 315.249 0.463666
0 0.383715 0.695458 0.978605 0.189505 0.496231 375.154 0.269906
0 0.749466 0.331977 0.412662 0.363371 1.05866 267.715 0.605041
0 0.153731 0.557774 1.33447 1.15354 0.709276 466.312 0.121195
0 0.547076 0.179607 0.725829 1.03072 1.29443 348.507 0.484866
0 0.0666539 0.845213 1.46921 0.955645 0.264508 479.996 0.164619
0 0.810154 0.368482 0.318757 0.922897 1.00217 244.562 0.828152
0 0.427913 0.867323 0.910216 2.10413 0.230296 335.606 0.263602
0 0.470753 0.725757 0.843927 0.423673 0.449349 330.461 0.379238
0 0.0227067 0.284977 1.53721 0.500731 1.13139 484.258 0.148123
0 0.476764 0.641254 0.834625 1.00357 0.580103 337.27 0.532468
0 0.905545 0.729416 0.171154 1.92868 0.443686 161.631 1.03994
0 0.373165 0.711008 0.994929 2.06398 0.47217 378.715 0.121994
0 0.586327 0.0716345 0.665094 2.03292 1.4615 338.693 0.410303
0 0.310185 0.230987 1.09238 2.40195 1.21493 429.455 0.212826
0 0.470894 0.44077 0.843709 2.19275 0.890321 359.549 0.419752
0 0.54552 0.860945 0.728237 1.97239 0.240167 276.526 0.555158
0 0.171837 0.15178 1.30645 0.921062 1.33749 466.853 0.126622
0 0.280007 0.866132 1.13908 1.34697 0.23214 410.648 0.357067
0 0.0981155 0.576168 1.42053 1.78192 0.680814 476.894 0.213707
0 0.817282 0.748696 0.307728 1.95721 0.413854 184.293 1.10603
0 0.265181 0.228853 1.16202 0.992462 1.21823 443.137 0.0852139
0 0.270774 0.16824 1.15336 0.825324 1.31202 442.493 0.284552
0 0.656241 0.316267 0.556914 2.11732 1.08297 300.337 0.586768
0 0.0163957 0.516083 1.54697 2.66894 0.773786 484.39 0.127964
0 0.560534 0.302688 0.705005 1.41855 1.10398 335.971 0.535966
0 0.532784 0.292505 0.747943 1.45166 1.11974 347.033 0.343979
0 0.0102377 0.965881 1.5565 2.58886 0.0777946 484.473 0.159342
0 0.857387 0.503786 0.245672 2.93841 0.792813 210.581 0.982566
0 0.228382 0.4924 1.21896 0.529017 0.810432 447.64 0.0984243
0 0.52706 0.333299 0.756801 0.637514 1.05662 346.162 0.470047
0 0.870957 0.668073 0.224674 2.00435 0.538605 180.499 0.943384
1 0.817282 0.748696 0.307728 1.95721 0.413854 184.293 1.10603
1 0.546986 0.1794 0.724983 1.01498 0.0724983 348.549 0.0885158
1 0.47669 0.641201 0.821647 0.966644 0.0966644 337.31 0.378921
1 0.857213 0.503783 0.241661 2.8516 1.37747 210.632 0.777206
1 0.857213 0.523798 0.193329 2.12662 1.13581 207.45 0.584074
1 0.87918 0.858921 0.0724983 0.483322 0.579986 150.655 0.883642
1 0.734684 0.643398 0.169163 1.15997 0.55582 228.538 0.399161
1 0.0100073 0.965829 1.01498 2.89993 0.773315 484.479 0.0845801
1 0.383695 0.695387 0.966644 0.144997 0.483322 375.169 0.443565
1 0.832316 0.948987 0.241661 2.89993 0.773315 152.167 1.15724
1 0.749329 0.33195 0.410824 0.0483322 1.30497 267.761 0.289337
1 0.950452 0.954845 0.0966644 2.80327 0.43499 122.158 1.20353
1 0.239932 0.307542 1.18414 0.193329 1.13581 448.792 0.0487904
1 0.484501 0.1794 0.724983 1.01498 1.2808 370.816 0.416019
1 0.586283 0.111057 0.724983 1.93329 0.217495 337.659 0.403649
1 0.47669 0.718331 0.966644 1.15997 0.459156 328.476 0.38617
1 0.87918 0.854284 0.193329 2.9966 0.265827 151.263 1.09227
1 0.627288 0.3732 0.579986 1.93329 1.37747 304.858 0.211061
1 0.349036 0.359043 0.942478 1.88496 0.43499 412.003 0.205983
1 0.832316 0.948255 0.724983 1.93329 0.217495 152.257 1.20876
1 0.73566 0.790578 0.579986 2.12662 1.13581 205.674 0.486566
1 0.526971 0.168172 1.13581 0.821647 1.30497 356.125 0.189086
1 0.87918 0.854284 0.193329 2.9966 0.241661 151.263 1.13491
1 0.858189 0.115206 0.410824 0.338325 1.03914 256.849 0.315641
1 0.265072 0.228704 1.15997 0.966644 1.54663 443.171 0.133527
1 0.87918 0.854772 0.724983 1.44997 1.11164 151.199 1.25719
1 0.87918 0.854284 0.193329 1.93329 0.99081 151.263 0.764748
1 0.870881 0.66805 0.217495 2.65827 1.37747 180.524 0.598503
1 0.159873 0.368318 0.314159 0.918312 0.99081 467.478 0.0684739
1 0.950452 0.954845 0.0966644 2.89993 0.773315 122.158 1.48685
1 0.832316 0.948255 0.265827 0.579986 0.43499 152.257 0.694961
1 0.0163534 0.515987 1.54663 2.65827 0.362491 484.391 0.0472767
1 0.961679 0.640225 0.169163 1.15997 0.55582 160.828 1.24951
1 0.239932 0.373688 0.289993 1.93329 0.410824 447.344 0.0690726
1 0.470832 0.440566 0.821647 2.17495 1.03914 359.591 0.438795
1 0.905541 0.72785 1.44997 0.918312 0.241661 161.862 1.07277
1 0.427874 0.869905 0.193329 2.9966 0.241661 335.331 0.174321
1 0.817183 0.748597 0.289993 1.83662 0.55582 184.339 0.905598
1 0.890652 0.273859 0.193329 2.12662 1.15997 234.689 0.434464
1 0.151818 0.387601 1.25664 0.821647 0.942478 468.916 0.0982631
1 0.0163534 0.515987 1.54663 2.65827 0.773315 484.391 0.249589
1 0.961679 0.640469 0.0966644 2.75494 0.0724983 160.79 1.24974
1 0.898706 0.643398 0.169163 1.15997 0.410824 176.581 0.637747
1 0.749329 0.33195 0.410824 0.338325 1.01498 267.761 0.324349
